news_title,news_content,news_source,news_pubtime,news_url
東京五輪　一部聖火ランナーの走行市町が決まる　／岐阜,４月４、５日に県内で実施される東京２０２０オリンピック聖火リレーで、県実行委員会は７日、一部ランナーの走行市町を決めた。パラリンピック金メダリストや著名人ら県…,毎日新聞,2020/3/8,https://mainichi.jp/articles/20200308/ddl/k21/050/079000c
東京２０２０オリンピック聖火リレーの走行時間　／奈良,◆東京２０２０オリンピック聖火リレーの走行時間（目安）\u3000【１１日】（１）９：１０～９：４０\u3000\u3000\u3000五條市\u3000上野公園総合体育館～大和二見駅（２）１０：３０～１１：…,毎日新聞,2021/4/11,https://mainichi.jp/articles/20210411/ddl/k29/050/223000c
聖火リレー、警備訓練　盛岡で県警　一連の動作確認　／岩手,聖火リレーが県内で６月１６日～１８日に行われるのを前に県警は２１日、盛岡市の盛岡競馬場で警備訓練を行った。訓練には約８０人が参加し、本番さなが…,毎日新聞,2021/5/22,https://mainichi.jp/articles/20210522/ddl/k03/050/025000c
書籍で五輪盛り上げる　岡山市立中央図書館展示　／岡山,"２０２１年に延期された', '・パラリンピックを盛り上げようと、岡山市立中央図書館で書籍の企画展示「日本が世界を待っている～東京２０２０オリンピック・…",毎日新聞,2020/8/23,https://mainichi.jp/articles/20200823/ddl/k33/050/192000c
聖火リレー　観覧者募集　出発式・セレブレーション　／滋賀,"県は、５月２７、２８日に県内で実施される', '聖火リレーの出発式と聖火の到着を祝うイベント「セレブレーション」の観覧希望者を募集している。５月６日ま…",毎日新聞,2021/4/22,https://mainichi.jp/articles/20210422/ddl/k25/050/276000c
聖火リレー開催記念　イベント観覧者募集　県実行委　県内在住限定、３０日まで　／岡山,"県内で５月１９・２０日に開催される', '聖火リレーについて、県実行委は両日の到着地点（岡山市、津山市）でそれぞれ開く記念イベントの観覧者を募集してい…",毎日新聞,2021/4/19,https://mainichi.jp/articles/20210419/ddl/k33/050/304000c
東京五輪延期で僕が移籍した理由　ある日本代表の挑戦,ある転職情報サイトのデータによると、転職理由のトップ3は「やりがい」「会社の将来性」「給与」の三つ。アスリートの移籍理由もさほど変わらないはずだが、日本代表と…,毎日新聞,2020/8/18,https://mainichi.jp/articles/20200817/k00/00m/050/020000c
東京２０２０オリンピック　人吉で聖火リレートーチ公開　県内１４カ所を巡回　／熊本,東京２０２０オリンピック聖火リレートーチの展示が１日、熊本県人吉市カルチャーパレス仮本庁舎ロビーで始まった。９月３日まで県内１４カ所で巡回展示される。\u3000県内の…,毎日新聞,2021/3/2,https://mainichi.jp/articles/20210302/ddl/k43/050/344000c
東京２０２０オリンピック　聖火リレー、公道走行へ　来月１３、１４日　府内実施予定　／大阪,東京２０２０オリンピックの聖火リレーについて、府内はランナーが公道を走る方法で実施する予定であることが４日、分かった。関係者によると、大会組織委員会が、府実行…,毎日新聞,2021/3/5,https://mainichi.jp/articles/20210305/ddl/k27/050/323000c
先生はオリンピックに出る！　コロナで「暗闇」…でも見せたい教師の背中,「先生の夢は何？」。そう聞かれてすぐに答えられる学校の先生はどれだけいるだろうか。今夏、一人の小学校教師は夢をかなえていたはずだった。だが、新型コロナウイルス…,毎日新聞,2020/8/22,https://mainichi.jp/articles/20200820/k00/00m/050/024000c
