country,infections
Egypt,937.3056266000001
Bolivia,898.8406402
Canada,794.2529940000001
Azerbaijan,793.1176565000001
Costa Rica,770.3333529
Latvia,687.2197428
Armenia,670.0618965
Venezuela,669.2526078
Albania,663.7986737000001
Guatemala,639.0851326000001
Honduras,616.5943965
Belarus,581.4265287000001
Algeria,561.5931745
Kenya,535.0254933
South Korea,531.7448868
Norway,509.71052369999995
Finland,485.8520175
Uzbekistan,458.52476770000004
Montenegro,426.1436152
Ghana,383.96808210000006
Jamaica,336.8026152
Cyprus,313.00340730000005
Kyrgyzstan,290.0678603
Luxembourg,211.78669989999997
Cameroon,171.7296339
Togo,143.48737830000002
Zimbabwe,136.0945384
Malta,124.9254855
Senegal,115.4087943
